OBJECTID,Codigo_Municipio,GR,Nome_Estado,Nome_municipio,Pop_Total,Total_Enfermeiros,Enfermeiros_SUS,Enfermeiros_100mil_hab_Ind,Enfermeiros_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
303,2301208,Nordeste,Ceará,Aracoiaba,26469,39,39,147.342173863765,147.342173863765,665034796.229614,182620.499643548
304,2601052,Nordeste,Pernambuco,Araçoiaba,20524,13,13,63.3404794387059,63.3404794387059,98823503.1184082,57825.5809272623
305,3502903,Sudeste,São Paulo,Araçoiaba da Serra,34146,36,30,105.429625724829,87.8580214373572,305196750.859375,113038.973881365
306,3200607,Sudeste,Espírito Santo,Aracruz,101220,101,90,99.7826516498716,88.9152341434499,1616111897.88867,195590.016557955
307,5201603,Centro-Oeste,Goiás,Araçu,3522,4,4,113.571834185122,113.571834185122,163172556.126953,84181.4536093526
308,3103405,Sudeste,Minas Gerais,Araçuaí,36708,40,40,108.9680723548,108.9680723548,2457196058.44971,326775.807993858
309,5201702,Centro-Oeste,Goiás,Aragarças,20118,15,15,74.5600954369222,74.5600954369222,723042891.744141,178398.7233688
310,5201801,Centro-Oeste,Goiás,Aragoiânia,10308,10,10,97.012029491657,97.012029491657,240313536.540039,80800.4612980214
311,1701309,Norte,Tocantins,Aragominas,5758,8,8,138.937130948246,138.937130948246,1198241067.47778,263797.844569301
312,1701903,Norte,Tocantins,Araguacema,7086,4,4,56.4493367202935,56.4493367202935,2865487396.93848,304299.546668794
313,1702000,Norte,Tocantins,Araguaçu,8517,13,13,152.635904661266,152.635904661266,5469174249.27148,468834.322163281
314,5101001,Centro-Oeste,Mato Grosso,Araguaiana,3100,4,4,129.032258064516,129.032258064516,6932767184.08008,618088.866633468
315,1702109,Norte,Tocantins,Araguaína,180470,473,467,262.09342272954,258.768770432759,4093171836.37622,501775.608633321
316,5101209,Centro-Oeste,Mato Grosso,Araguainha,935,2,2,213.903743315508,213.903743315508,754881493.357422,203868.167730786
317,1702158,Norte,Tocantins,Araguanã,5729,6,6,104.730319427474,104.730319427474,853443400.40625,227824.404122748
318,2100873,Nordeste,Maranhão,Araguanã,15426,7,7,45.3779333592636,45.3779333592636,812937058.408447,168003.827020828
